repo,date,cwe,severity,year
mims-harvard/PrimeKG,2026-01-07 13:48:48+00:00,CWE-287 (认证问题),High,2026
mims-harvard/PrimeKG,2023-12-07 00:22:49+00:00,CWE-287 (认证问题),Medium,2023
mims-harvard/PrimeKG,2023-02-02 02:37:02+00:00,CWE-287 (认证问题),Medium,2023
mims-harvard/ProCyon,2025-11-21 20:30:56+00:00,CWE-502 (反序列化),Medium,2025
mims-harvard/ProCyon,2024-12-11 20:13:25+00:00,CWE-502 (反序列化),Medium,2024
mims-harvard/Raincoat,2023-08-10 07:56:04+00:00,CWE-287 (认证问题),Medium,2023
mims-harvard/Raincoat,2023-07-06 09:08:15+00:00,CWE-287 (认证问题),High,2023
mims-harvard/SHEPHERD,2023-06-26 09:29:47+00:00,CWE-502 (反序列化),High,2023
mims-harvard/SubGNN,2023-05-15 08:15:59+00:00,CWE-502 (反序列化),Low,2023
mims-harvard/SubGNN,2020-12-14 16:04:11+00:00,CWE-79 (XSS/注入),Low,2020
mims-harvard/TDC,2024-10-18 16:52:02+00:00,CWE-287 (认证问题),High,2024
mims-harvard/TDC,2024-08-20 12:35:57+00:00,CWE-502 (反序列化),High,2024
mims-harvard/TDC,2024-07-03 09:06:33+00:00,CWE-502 (反序列化),High,2024
mims-harvard/TDC,2025-12-03 12:27:23+00:00,CWE-502 (反序列化),High,2025
mims-harvard/TFC-pretraining,2022-09-21 06:37:46+00:00,CWE-502 (反序列化),Low,2022
mims-harvard/ToolUniverse,2025-11-17 14:02:07+00:00,CWE-502 (反序列化),High,2025
mims-harvard/ToolUniverse,2025-11-08 07:25:14+00:00,CWE-200 (信息泄露),Low,2025
mims-harvard/ToolUniverse,2026-01-15 01:06:28+00:00,CWE-79 (XSS/注入),Medium,2026
mims-harvard/ToolUniverse,2025-12-16 03:40:20+00:00,CWE-287 (认证问题),Low,2025
mims-harvard/ToolUniverse,2025-11-20 13:53:47+00:00,CWE-502 (反序列化),Medium,2025
mims-harvard/ToolUniverse,2025-11-19 21:40:27+00:00,CWE-502 (反序列化),Low,2025
mims-harvard/ToolUniverse,2025-10-23 01:27:46+00:00,CWE-287 (认证问题),Low,2025
mims-harvard/ToolUniverse,2025-10-06 20:30:58+00:00,CWE-287 (认证问题),High,2025
mims-harvard/TxAgent,2025-06-20 14:50:44+00:00,CWE-287 (认证问题),Medium,2025
mims-harvard/TxAgent,2025-05-27 10:27:28+00:00,CWE-287 (认证问题),High,2025
mims-harvard/TxGNN,2025-04-11 02:49:03+00:00,CWE-287 (认证问题),Medium,2025
mims-harvard/UniTS,2025-02-07 15:20:21+00:00,CWE-502 (反序列化),Medium,2025
mims-harvard/UniTS,2024-12-12 07:49:40+00:00,CWE-502 (反序列化),Medium,2024
mims-harvard/UniTS,2024-07-20 03:14:56+00:00,CWE-287 (认证问题),Medium,2024
mims-harvard/UniTS,2024-03-05 14:48:10+00:00,CWE-502 (反序列化),Medium,2024
mims-harvard/decagon,2024-10-12 04:25:02+00:00,CWE-287 (认证问题),Low,2024
mims-harvard/decagon,2021-12-17 06:58:09+00:00,CWE-287 (认证问题),High,2021
mims-harvard/decagon,2019-08-17 19:03:44+00:00,CWE-200 (信息泄露),Medium,2019
mims-harvard/decagon,2022-05-26 20:20:17+00:00,CWE-79 (XSS/注入),High,2022
mims-harvard/decagon,2022-05-24 16:55:03+00:00,CWE-79 (XSS/注入),High,2022
mims-harvard/decagon,2020-03-24 16:10:15+00:00,CWE-79 (XSS/注入),High,2020
mims-harvard/decagon,2020-02-24 18:20:07+00:00,CWE-79 (XSS/注入),High,2020
mims-harvard/decagon,2020-01-28 22:30:16+00:00,CWE-79 (XSS/注入),High,2020
mims-harvard/fastGNMF,2022-11-22 05:21:09+00:00,CWE-200 (信息泄露),High,2022
mims-harvard/nimfa,2011-09-27 12:52:09+00:00,CWE-287 (认证问题),Medium,2011
mims-harvard/nimfa,2015-12-15 21:06:39+00:00,CWE-287 (认证问题),Medium,2015
olaflaitinen/llm-proteomics-hallucination,2025-11-09 14:48:48+00:00,CWE-287 (认证问题),Low,2025
olaflaitinen/llm-proteomics-hallucination,2025-11-09 14:47:09+00:00,CWE-287 (认证问题),Low,2025
olaflaitinen/llm-proteomics-hallucination,2025-11-09 14:45:17+00:00,CWE-287 (认证问题),Low,2025
olaflaitinen/llm-proteomics-hallucination,2025-11-09 14:44:26+00:00,CWE-287 (认证问题),Low,2025
olaflaitinen/llm-proteomics-hallucination,2025-11-09 14:43:39+00:00,CWE-287 (认证问题),Low,2025
olaflaitinen/llm-proteomics-hallucination,2025-11-09 14:43:15+00:00,CWE-287 (认证问题),Low,2025
olaflaitinen/llm-proteomics-hallucination,2025-11-09 14:42:07+00:00,CWE-287 (认证问题),Low,2025
olaflaitinen/llm-proteomics-hallucination,2025-11-09 14:40:47+00:00,CWE-287 (认证问题),High,2025
olaflaitinen/llm-proteomics-hallucination,2025-11-09 14:40:11+00:00,CWE-287 (认证问题),Low,2025
olaflaitinen/llm-proteomics-hallucination,2025-11-09 14:36:00+00:00,CWE-287 (认证问题),Low,2025
olaflaitinen/llm-proteomics-hallucination,2025-11-09 14:35:18+00:00,CWE-287 (认证问题),Low,2025
olaflaitinen/llm-proteomics-hallucination,2025-11-09 14:32:59+00:00,CWE-287 (认证问题),Low,2025
oneil512/INSIGHT,2023-04-24 15:31:11+00:00,CWE-287 (认证问题),Medium,2023
pascalwhoop/medical-mcps,2025-11-18 13:30:27+00:00,CWE-79 (XSS/注入),Medium,2025
pat-jj/GraphCare,2024-04-04 19:09:09+00:00,CWE-287 (认证问题),High,2024
